"external_id","week","mo","tu","we","th","fr","sa","q2","group"
"57ea9",12,2.132,2.103,2.013,2.1,3.95,3.991,5,"lts"
"5c3d1",12,2.132,2.103,2.013,2.1,3.95,3.991,4,"lts"
"7d03b",12,2.132,2.103,2.013,2.1,3.95,3.991,2,"lts"
"88df4",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
"a711f",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
"bd209",12,2.132,2.103,2.013,2.1,3.95,3.991,2,"lts"
"c05b7",12,2.132,2.103,2.013,2.1,3.95,3.991,2,"lts"
"c42b6",12,2.132,2.103,2.013,2.1,3.95,3.991,4,"lts"
"c565b",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
"d45b5",12,2.132,2.103,2.013,2.1,3.95,3.991,2,"lts"
"f1308",12,2.132,2.103,2.013,2.1,3.95,3.991,5,"lts"
"f865c",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
"00c2c",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"lts"
"0d293",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"lts"
"27e23",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"lts"
"40c71",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"lts"
"4d5eb",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"lts"
"54ed7",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"lts"
"559e2",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"lts"
"57ea9",13,3.871,3.921,1.943,2.046,2.2,2.022,4,"lts"
"5870e",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"lts"
"5aa56",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"lts"
"7d03b",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"lts"
"88df4",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"lts"
"9d7d1",13,3.871,3.921,1.943,2.046,2.2,2.022,4,"lts"
"a711f",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"lts"
"bd209",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"lts"
"c05b7",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"lts"
"c42b6",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"lts"
"f75f6",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"lts"
"f7c29",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"lts"
"f865c",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"lts"
"10",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"labPl"
"10",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"labPl"
"10",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"labPl"
"10",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"labPl"
"10",8,2.096,2.047,4.126,4.138,2.026,2.09,3,"labPl"
"10",9,2.129,2.148,2.064,2.019,4.182,4.182,2,"labPl"
"10",3,4.198,4.176,4.127,4.181,2.172,2.113,4,"labPl"
"10",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"labPl"
"10",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"labPl"
"10",11,2.02,2.049,3.922,3.981,2.093,2.042,2,"labPl"
"10",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"labPl"
"10",2,4.197,4.166,2.207,2.196,4.17,4.165,4,"labPl"
"10",5,3.964,3.956,2.097,2.285,3.879,3.997,5,"labPl"
"11",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"labPl"
"11",9,2.129,2.148,2.064,2.019,4.182,4.182,4,"labPl"
"11",6,3.883,3.966,3.916,3.88,2.172,2.023,3,"labPl"
"11",4,2.023,1.954,4.221,4.125,4.234,4.169,5,"labPl"
"11",2,4.197,4.166,2.207,2.196,4.17,4.165,4,"labPl"
"11",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"labPl"
"11",3,4.198,4.176,4.127,4.181,2.172,2.113,4,"labPl"
"11",1,4.155,4.162,1.963,1.978,4.166,4.164,3,"labPl"
"11",13,3.871,3.921,1.943,2.046,2.2,2.022,3,"labPl"
"11",8,2.096,2.047,4.126,4.138,2.026,2.09,2,"labPl"
"11",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"labPl"
"11",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"labPl"
"11",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"labPl"
"12",10,4.182,4.148,2.01,2.059,1.945,2.066,2,"labPl"
"12",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"labPl"
"12",8,2.096,2.047,4.126,4.138,2.026,2.09,2,"labPl"
"12",6,3.883,3.966,3.916,3.88,2.172,2.023,3,"labPl"
"12",11,2.02,2.049,3.922,3.981,2.093,2.042,1,"labPl"
"12",2,4.197,4.166,2.207,2.196,4.17,4.165,3,"labPl"
"12",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"labPl"
"12",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"labPl"
"12",4,2.023,1.954,4.221,4.125,4.234,4.169,3,"labPl"
"12",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"labPl"
"12",9,2.129,2.148,2.064,2.019,4.182,4.182,2,"labPl"
"12",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"labPl"
"12",3,4.198,4.176,4.127,4.181,2.172,2.113,3,"labPl"
"13",7,2.125,1.891,3.999,3.896,3.978,3.912,2,"labPl"
"13",2,4.197,4.166,2.207,2.196,4.17,4.165,3,"labPl"
"13",3,4.198,4.176,4.127,4.181,2.172,2.113,4,"labPl"
"13",12,2.132,2.103,2.013,2.1,3.95,3.991,2,"labPl"
"13",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"labPl"
"13",4,2.023,1.954,4.221,4.125,4.234,4.169,4,"labPl"
"13",13,3.871,3.921,1.943,2.046,2.2,2.022,2,"labPl"
"13",6,3.883,3.966,3.916,3.88,2.172,2.023,3,"labPl"
"13",9,2.129,2.148,2.064,2.019,4.182,4.182,2,"labPl"
"13",8,2.096,2.047,4.126,4.138,2.026,2.09,2,"labPl"
